Taxonomy,Economic Activity name,Activity Code,Industry Name
NACE,"A1 - Crop and animal production, hunting and related service activities",A1 ,Crop cultivation
NACE,A1.1 - Growing of non-perennial crops,A1.1 ,Crop cultivation
NACE,"A1.1.1 - Growing of cereals (except rice), leguminous crops and oil seeds",A1.1.1 ,Crop cultivation
NACE,A1.1.2 - Growing of rice,A1.1.2 ,Crop cultivation
NACE,"A1.1.3 - Growing of vegetables and melons, roots and tubers",A1.1.3 ,Crop cultivation
NACE,A1.1.4 - Growing of sugar cane,A1.1.4 ,Crop cultivation
NACE,A1.1.5 - Growing of tobacco,A1.1.5 ,Crop cultivation
NACE,A1.1.6 - Growing of fibre crops,A1.1.6 ,Crop cultivation
NACE,A1.1.9 - Growing of other non-perennial crops,A1.1.9 ,Crop cultivation
NACE,A1.2 - Growing of perennial crops,A1.2 ,Crop cultivation
NACE,A1.2.1 - Growing of grapes,A1.2.1 ,Crop cultivation
NACE,A1.2.2 - Growing of tropical and subtropical fruits,A1.2.2 ,Crop cultivation
NACE,A1.2.3 - Growing of citrus fruits,A1.2.3 ,Crop cultivation
NACE,A1.2.4 - Growing of pome fruits and stone fruits,A1.2.4 ,Crop cultivation
NACE,A1.2.5 - Growing of other tree and bush fruits and nuts,A1.2.5 ,Crop cultivation
NACE,A1.2.6 - Growing of oleaginous fruits,A1.2.6 ,Crop cultivation
NACE,A1.2.7 - Growing of beverage crops,A1.2.7 ,Crop cultivation
NACE,"A1.2.8 - Growing of spices, aromatic, drug and pharmaceutical crops",A1.2.8 ,Crop cultivation
NACE,A1.2.9 - Growing of other perennial crops,A1.2.9 ,Crop cultivation
NACE,A1.3 - Plant propagation,A1.3 ,Crop cultivation
NACE,A1.3.0 - Plant propagation,A1.3.0 ,Crop cultivation
NACE,A1.4 - Animal production,A1.4 ,"Fishing, hunting and animal husbandry"
NACE,A1.4.1 - Raising of dairy cattle,A1.4.1 ,"Fishing, hunting and animal husbandry"
NACE,A1.4.2 - Raising of other cattle and buffaloes,A1.4.2 ,"Fishing, hunting and animal husbandry"
NACE,A1.4.3 - Raising of horses and other equines,A1.4.3 ,"Fishing, hunting and animal husbandry"
NACE,A1.4.4 - Raising of camels and camelids,A1.4.4 ,"Fishing, hunting and animal husbandry"
NACE,A1.4.5 - Raising of sheep and goats,A1.4.5 ,"Fishing, hunting and animal husbandry"
NACE,A1.4.6 - Raising of swine/pigs,A1.4.6 ,"Fishing, hunting and animal husbandry"
NACE,A1.4.7 - Raising of poultry,A1.4.7 ,"Fishing, hunting and animal husbandry"
NACE,A1.4.9 - Raising of other animals,A1.4.9 ,"Fishing, hunting and animal husbandry"
NACE,A1.5 - Mixed farming,A1.5 ,Mixed farming
NACE,A1.5.0 - Mixed farming,A1.5.0 ,Mixed farming
