Industry,Business Sector
Crop cultivation,Agriculture
"Fishing, hunting and animal husbandry",Agriculture
Mixed farming,Agriculture
Biotechnology laboratories and services,Biotech and healthcare
Healthcare institutions and services,Biotech and healthcare
Medical devices and supplies,Biotech and healthcare
Medical equipment,Biotech and healthcare
Pharmaceuticals and drug delivery,Biotech and healthcare
Business and industrial products,Business products and services
Business and industrial services,Business products and services
"Industrial measurement, sensing and control equipment",Business products and services
Other manufacturing,Business products and services
Chemicals and materials: service related activities,Chemicals and materials
Coal and metal ores,Chemicals and materials
Materials,Chemicals and materials
Plastic,Chemicals and materials
Specialty chemicals & Organic chemicals,Chemicals and materials
Textile fibres,Chemicals and materials
Construction materials,Construction
Construction: related activities,Construction
Art galleries and related services,Consumer goods and services
Educational and training products/services,Consumer goods and services
Fashion industry,Consumer goods and services
Food and beverages,Consumer goods and services
"Hospitality, sports and entertainment facilities",Consumer goods and services
Household articles,Consumer goods and services
Household furniture,Consumer goods and services
Other consumer products manufacturing,Consumer goods and services
Other consumer products retailing,Consumer goods and services
Other consumer services,Consumer goods and services
Public services (excl. education),Consumer goods and services
"Restaurants, food services",Consumer goods and services
Retail of fashion products,Consumer goods and services
Retail of food and beverages,Consumer goods and services
Other consumer services & Business and industrial services,Consumer goods and services & Business products and services
Energy related products and equipment,Energy and environment
Energy related services,Energy and environment
Gas and oil,Energy and environment
Hydroelectricity,Energy and environment
Hydroelectricity & Alternative energy,Energy and environment
Other energy,Energy and environment
"Sorting, recycling and processing of waste & Environment Infrastructure",Energy and environment
"Other environmental services (pollution measurement, noise abatement services, nature and landscape protection services … )",Energy and environment & Environment Infrastructure
"Other environmental services (pollution measurement, noise abatement services, nature and landscape protection services … )",Energy and environment & Environment Infrastructure
"Sorting, recycling and processing of waste & Environment Infrastructure",Energy and environment & Environment Infrastructure
Banks,Financial and insurance activities
Insurance,Financial and insurance activities
Other financial services,Financial and insurance activities
Application software & Systems software,"ICT (Communications, computer and electronics)"
"Broadcasting, publications and content providers","ICT (Communications, computer and electronics)"
Communications: retail/wholesale and repair activities,"ICT (Communications, computer and electronics)"
Computer hardware,"ICT (Communications, computer and electronics)"
Computer: retail/wholesale and repair activities,"ICT (Communications, computer and electronics)"
Data management services,"ICT (Communications, computer and electronics)"
Online platforms,"ICT (Communications, computer and electronics)"
Other software,"ICT (Communications, computer and electronics)"
Other software,"ICT (Communications, computer and electronics)"
Other software,"ICT (Communications, computer and electronics)"
Telecom carriers,"ICT (Communications, computer and electronics)"
Infrastructure-Other,Infrastructure
Ports,Infrastructure
Railways and metros,Infrastructure
Roads and bridges,Infrastructure
Social Infrastructure,Infrastructure
Social Infrastructure & Environment (Infrastructure),Infrastructure
Not in our scope,Not in our scope
Real estate,Real estate
Courier services,Transportation
Freight transport,Transportation
Means of transport: manufacturing,Transportation
Means of transport: repair and maintenance,Transportation
Passenger transport,Transportation
